germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
2,50,2.59,1.2920353982,1.46,1.13,0,31.3,4.71,6,2,3,3
13,50,4.56,1.0917431193,2.38,2.18,24,42.3,7,6,13.5,3,2
59,42,0.71,1.6296296296,0.44,0.27,0,10.2,3.5,5,59,3,1
2,50,2.23,1.8227848101,1.44,0.79,0,58.6,4.88,6,2,3,2
2,50,4.19,1.4647058824,2.49,1.7,5,53.3,5.4,7,2,3,3
15,50,4.33,1.4602272727,2.57,1.76,0,43.1,5.2,6,15,3,1
13,50,4.38,1.4333333333,2.58,1.8,0,39.2,7.1,6,20.5,3,2
3,50,4.93,1.3145539906,2.8,2.13,4,48,6.14,6,3,3,2
26,51,3.55,1.3986486486,2.07,1.48,0,32.5,6,5,26,3,1
6,50,4.08,1.3050847458,2.31,1.77,0,41.2,6.08,6,6,3,1
2,50,3.42,1.25,1.9,1.52,0,40.9,5.13,6,2,3,3
2,50,2.91,1.4453781513,1.72,1.19,2,34.1,4.97,6,2,3,2
43,58,2.52,0.7622377622,1.09,1.43,0,17.2,4.18,7,43,3,1
2,50,2.51,1.0573770492,1.29,1.22,0,42.9,4.84,6,3.6666666667,3,3
3,50,3.85,1.225433526,2.12,1.73,3,47.1,4.81,7,3,3,3
4,50,3.19,0.9101796407,1.52,1.67,0,34,6.68,6,4.5,3,2
2,50,3.2,0.9393939394,1.55,1.65,0,31.7,7.06,8,10.5,4,4
4,50,3.96,1.2,2.16,1.8,8,52.6,4.33,7,5.3333333333,3,3
5,50,4.59,1.5642458101,2.8,1.79,0,53.5,5.45,6,5,3,2
2,50,2.83,1.3781512605,1.64,1.19,4,52.4,4.42,7,2,3,1
2,50,3.51,1.1402439024,1.87,1.64,10,44.7,6.81,7,6.3333333333,3,3
13,50,3.49,0.9071038251,1.66,1.83,0,22.4,7.4,6,16.5,3,2
2,50,1.58,0.9036144578,0.75,0.83,0,21.1,4.37,7,2.6666666667,3,3
10,51,3.58,0.7463414634,1.53,2.05,0,21.7,7.34,7,12.5,3,2
21,51,3.37,0.7736842105,1.47,1.9,19,14.2,6,7,24.5,3,2
2,50,3.74,1.2395209581,2.07,1.67,2,28.6,8.76,6,2,3,2
3,50,4.44,1.3005181347,2.51,1.93,4,50.3,5.34,7,3.6666666667,3,3
16,49,2.72,0.9154929577,1.3,1.42,0,24.2,6,5,23,3,2
2,50,2.61,1.9659090909,1.73,0.88,0,50.8,4.78,6,7,3,3
4,50,3.54,1.95,2.34,1.2,4,50.2,5.44,6,6.6666666667,3,3
15,50,3.48,1.1481481481,1.86,1.62,0,23.8,7.2,6,18,3,2
2,50,3.16,0.9874213836,1.57,1.59,0,33.2,6.27,6,2.3333333333,3,3
14,51,3.78,0.89,1.78,2,0,22.9,8.5,6,16,3,3
3,50,3.65,1.0857142857,1.9,1.75,9,33.6,6.65,7,4,3,2
4,50,1.79,0.7549019608,0.77,1.02,0,18.4,6.12,7,10.6666666667,3,3
16,49,4.29,0.7368421053,1.82,2.47,9,26.3,6.5,5,16,3,1
2,50,3.32,1.1282051282,1.76,1.56,0,37.5,5.24,6,2.6666666667,3,3
2,50,3.32,1.2585034014,1.85,1.47,8,43.7,5.66,6,2,3,3
2,50,3.98,0.9800995025,1.97,2.01,0,32.7,7.62,7,2,3,3
2,50,3.86,1.2840236686,2.17,1.69,0,49.1,6.64,6,2,3,3
16,49,3.84,1.0869565217,2,1.84,0,28.9,6.5,5,21,3,2
3,50,3.66,1.3164556962,2.08,1.58,0,55.5,4,6,3.5,3,2
3,50,3.16,1.6554621849,1.97,1.19,0,53.8,3.77,8,3,3,2
21,51,3.39,0.9152542373,1.62,1.77,20,14.7,7,7,21,2,1
2,50,4.04,1.0099502488,2.03,2.01,12,38.2,5.06,6,2,3,1
2,50,4.23,1.0336538462,2.15,2.08,0,41.9,6.67,7,2,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,50,3.95,1.2965116279,2.23,1.72,2,42.4,4.26,6,3,1,1
2,50,3.58,1.1963190184,1.95,1.63,0,31.4,8.55,6,2,3,1
2,50,3.84,1.2994011976,2.17,1.67,2,36.7,7.12,6,2.5,2,2
5,50,3.56,1.4895104895,2.13,1.43,0,39,5.89,6,14.5,3,2
2,50,4.1,1.5308641975,2.48,1.62,4,43.3,5.67,6,2.3333333333,3,3
17,51,4.16,1.9714285714,2.76,1.4,0,38.2,8,6,17,3,1
2,50,3.22,1.2676056338,1.8,1.42,10,62.4,5.22,6,2,3,3
3,50,2.9,1.8431372549,1.88,1.02,7,37.3,6.14,6,4,3,3
3,50,2.75,1.7777777778,1.76,0.99,1,41.2,4.14,6,3,3,1
3,50,3.59,1.0397727273,1.83,1.76,0,37.9,6.97,6,3.3333333333,3,3
2,50,3.9,0.875,1.82,2.08,0,39,5.55,6,2,3,3
2,50,2.18,1.2708333333,1.22,0.96,0,23.7,4.61,7,2.6666666667,3,3
2,50,2.29,1.0265486726,1.16,1.13,0,30.2,5.29,6,2.5,3,2
3,50,1.33,0.9275362319,0.64,0.69,0,15.5,6.49,8,6.3333333333,3,3
4,50,3.95,2.0384615385,2.65,1.3,1,50,4.03,7,4,1,1
2,50,3.88,1.4713375796,2.31,1.57,5,38,7.45,6,5.3333333333,3,3
6,50,4.05,1.0454545455,2.07,1.98,0,31.3,7.68,6,6,3,1
3,50,4.03,1.3430232558,2.31,1.72,9,53,4.52,6,3,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,3.22,1.4769230769,1.92,1.3,11,47.6,3.65,7,3.6666666667,3,3
2,50,3.08,1.8256880734,1.99,1.09,11,45.9,3.98,6,2,3,3
15,50,3.95,1.0360824742,2.01,1.94,6,38.1,8.1,6,15.5,3,2
18,50,3.87,0.935,1.87,2,0,24.9,9,6,22.5,3,2
2,50,3.97,1.2303370787,2.19,1.78,0,39,4.04,7,3.25,4,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,2.8,2.4567901235,1.99,0.81,12,38.4,4.14,7,3.3333333333,3,3
72,29,0.71,1.2903225806,0.4,0.31,0,17.3,3.5,4,72,2,1
2,50,3.67,1.4466666667,2.17,1.5,9,39.6,6.62,6,3.5,2,2
2,50,3.88,1.6575342466,2.42,1.46,0,47.4,4.52,6,3,4,4
6,50,2.91,1.7196261682,1.84,1.07,0,35,5.74,6,7.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5,50,1.94,1.2823529412,1.09,0.85,0,29.5,6.05,6,10,3,3
2,50,4.34,1.4111111111,2.54,1.8,0,38.6,8.2,7,2.5,2,2
2,50,3.46,1.322147651,1.97,1.49,7,39.2,3.74,6,2.3333333333,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,50,4.72,1.2159624413,2.59,2.13,9,34.7,9.23,6,3.5,3,2
2,50,3.24,1.6129032258,2,1.24,0,34.2,5.94,7,2,3,2
18,50,3.79,1.2831325301,2.13,1.66,0,26.2,9.2,6,21.5,3,2
