Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-469,M,18,H,M,H,S,S
AMO-1-470,MC,69,H,MC,H,S,S
AMO-1-471,TP,11,TC,TC,TC,A,A
AMO-1-472,TP,6,TX,TX,TX,A,A
AMO-1-473,CL,96,N,N,N,A,NA
AMO-1-474,CU,114,TC,TC,TC,A,A
AMO-1-475,TC,108,N,N,N,A,NA
AMO-1-476,TC,107,H,TC,H,S,S
AMO-1-477,DA,56,H,DA,H,S,S
AMO-1-478,CL,93,TP,TP,TP,A,A
AMO-1-479,CL,92,H,CL,H,S,S
AMO-1-480,TX,27,TX,TX,H,S,S
AMO-1-481,FP,79,TP,TP,TP,A,A
AMO-1-482,TP,6,TP,TP,H,S,S
AMO-1-483,TC,106,TX,TX,TX,A,A
AMO-1-484,TC,107,TC,TC,H,S,S
AMO-1-485,TX,25,N,N,N,A,NA
AMO-1-486,MC,65,TC,TC,TC,A,A
AMO-1-487,TP,7,H,TP,H,S,S
AMO-1-488,M,14,TC,TC,TC,A,A
AMO-1-489,TC,99,TX,TX,TX,A,A
AMO-1-490,TP,5,N,N,N,A,NA
AMO-1-491,MT,47,N,N,N,A,NA
AMO-1-492,CU,113,N,N,N,A,NA
AMO-1-493,CL,94,N,N,N,A,NA
AMO-1-494,MC,72,TP,TP,TP,A,A
AMO-1-495,MC,63,TC,TC,TC,A,A
AMO-1-496,TC,100,TP,TP,TP,A,A
AMO-1-497,CL,86,M,M,M,A,A
AMO-1-498,MT,47,TP,TP,TP,A,A
AMO-1-499,CU,116,TX,TX,TX,A,A
AMO-1-500,MC,62,TX,TX,TX,A,A
AMO-1-501,TX,35,TC,TC,TC,A,A
AMO-1-502,TP,7,TX,TX,TX,A,A
AMO-1-503,TC,100,H,TC,H,S,S
AMO-1-504,MC,64,N,N,N,A,NA
AMO-1-505,M,22,TP,TP,TP,A,A
AMO-1-506,M,19,M,M,H,S,S
AMO-1-507,MT,45,M,M,M,A,A
AMO-1-508,TX,28,M,M,M,A,A
AMO-1-509,FP,80,TX,TX,TX,A,A
AMO-1-510,CL,91,N,N,N,A,NA
AMO-1-511,TC,102,N,N,N,A,NA
AMO-1-512,DA,52,N,N,N,A,NA
AMO-1-513,MT,46,M,M,M,A,A
AMO-1-514,CL,87,H,CL,H,S,S
AMO-1-515,MC,63,N,N,N,A,NA
AMO-1-516,FP,83,TP,TP,TP,A,A
AMO-1-517,TC,100,M,M,M,A,A
AMO-1-518,FP,77,TX,TX,TX,A,A
AMO-1-519,TC,100,TC,TC,H,S,S
AMO-1-520,TC,98,N,N,N,A,NA
AMO-1-521,FP,75,TP,TP,TP,A,A
AMO-1-522,MC,70,N,N,N,A,NA
AMO-1-523,MC,61,H,MC,H,S,S
AMO-1-524,FP,80,TP,TP,TP,A,A
AMO-1-525,CL,95,TX,TX,TX,A,A
AMO-1-526,TC,100,TX,TX,TX,A,A
AMO-1-527,TX,34,TP,TP,TP,A,A
AMO-1-528,DA,53,N,N,N,A,NA
AMO-1-529,CU,117,N,N,N,A,NA
AMO-1-530,CL,88,TX,TX,TX,A,A
AMO-1-531,TX,36,TP,TP,TP,A,A
AMO-1-532,MT,37,N,N,N,A,NA
AMO-1-533,MT,40,H,MT,H,S,S
AMO-1-534,MT,43,TC,TC,TC,A,A
AMO-1-535,TP,6,M,M,M,A,A
AMO-1-536,M,22,TC,TC,TC,A,A
AMO-1-537,MT,37,H,MT,H,S,S
AMO-1-538,TX,33,TP,TP,TP,A,A
AMO-1-539,CL,94,H,CL,H,S,S
AMO-1-540,TP,2,TC,TC,TC,A,A
AMO-1-541,CL,96,TX,TX,TX,A,A
AMO-1-542,MC,64,TX,TX,TX,A,A
AMO-1-543,MT,39,M,M,M,A,A
AMO-1-544,TC,97,M,M,M,A,A
AMO-1-545,M,20,N,N,N,A,NA
AMO-1-546,FP,78,TP,TP,TP,A,A
AMO-1-547,MT,47,M,M,M,A,A
AMO-1-548,TP,9,H,TP,H,S,S
AMO-1-549,DA,53,TX,TX,TX,A,A
AMO-1-550,MT,41,H,MT,H,S,S
AMO-1-551,TC,108,TP,TP,TP,A,A
AMO-1-552,TC,106,TC,TC,H,S,S
AMO-1-553,DA,56,M,M,M,A,A
AMO-1-554,TX,31,TP,TP,TP,A,A
AMO-1-555,M,13,N,N,N,A,NA
AMO-1-556,TX,30,TC,TC,TC,A,A
AMO-1-557,DA,60,TC,TC,TC,A,A
